DB_ARTICLE	DB_BRAND	ORIG_ARTICLE	ORIG_BRAND
020202	MENSAN	020202	ASP
020205	MENSAN	020205	ASP
020218	MENSAN	020218	ASP
akd-1197	AKYOTO	AKD-1197	Akyoto
akd-12210	AKYOTO	AKD-12210	Akyoto
akd-1276	AKYOTO	AKD-1276	Akyoto
akd-13104	AKYOTO	AKD-13104	Akyoto
70291	ASAM	70291	Asam
030203	MENSAN	030.203	Sampa
030205	MENSAN	030205	ASP
030213	MENSAN	030.213	Sampa
030222	MENSAN	030222	ASP
030232	MENSAN	030.232	Sampa
030236	MENSAN	030.236	Sampa
030240	MENSAN	030.240	Sampa
230108	MENSAN	2.30108	Diesel Technic
230201	MENSAN	230201	ASP
230202	MENSAN	230202	ASP
230204	MENSAN	230204	ASP
230207	MENSAN	230207	ASP
230209	MENSAN	230209	ASP
230214	MENSAN	230214	ASP
230235	MENSAN	230235	ASP
260206s	MENSAN	260206S	ASP
260207s	MENSAN	260207S	ASP
270201	MENSAN	270201	ASP
270204	MENSAN	270204	ASP
290107	MENSAN	290107	ASP
290214	MENSAN	290214	ASP
290216	MENSAN	290216	ASP
290227	MENSAN	290227	ASP
290229	MENSAN	290229	ASP
290230	MENSAN	290230	ASP
300203	MENSAN	300.203	Mansons
300205	MENSAN	300.205	Mansons
300219	MENSAN	30.02.19	Onyarbi
300220	MENSAN	300.220	Mansons
300229	MENSAN	300229	ASP
300230	MENSAN	300230	ASP
300237	MENSAN	300.237	Mansons
320223	MENSAN	320223	ASP
340103	MENSAN	340103	KYB
350203	MENSAN	350203	ASP
360201	MENSAN	360201	ASP
360202	MENSAN	360202	ASP
360207	MENSAN	360207	ASP
370201	MENSAN	370201	ASP
370202	MENSAN	370202	ASP
370206	MENSAN	370206	ASP
380102	MENSAN	380102	ASP
380206	MENSAN	380206	ASP
380207	MENSAN	380207	ASP
390204	MENSAN	390204	ASP
390206	MENSAN	390206	ASP
410203	MENSAN	410203	ASP
410203s	MENSAN	410203S	ASP
410204	MENSAN	410204	ASP
410206	MENSAN	410206	ASP
410211	MENSAN	410211	ASP
410215	MENSAN	410215	ASP
410226	MENSAN	410226	ASP
510101	MENSAN	510101	ASP
510103	MENSAN	510103	ASP
510217	MENSAN	510217	GSP
510223	MENSAN	510223	ASP
550101	MENSAN	550101	ASP
550104	MENSAN	550104	ASP
550201s	MENSAN	550201S	ASP
550202s	MENSAN	550202S	ASP
550204	MENSAN	550204	ASP
610205	MENSAN	610205	ASP
610207	MENSAN	610207	ASP
610208	MENSAN	610208	ASP
610214	MENSAN	610214	ASP
7170001	MENSAN	7170001	ASP
7181001	MENSAN	7181001	ASP
7190001	MENSAN	7190001	ASP
7200002	MENSAN	7200002	ASP
7200003	MENSAN	7200003	ASP
7200009	MENSAN	7200-009	Metaco
7200014	MENSAN	7200014	ASP
7215001	MENSAN	7215001	ASP
7215004	MENSAN	7215004	ASP
7220003	MENSAN	7220003	ASP
7240001	MENSAN	7240001	ASP
7240002	MENSAN	7240002	ASP
7280001	MENSAN	7280001	ASP
bc260202f	MENSAN	BC260202F	ASP
bc260204	MENSAN	BC260204	ASP
bc260204f	MENSAN	BC260204F	ASP
bc260205	MENSAN	BC260205	ASP
bc260205f	MENSAN	BC260205F	ASP
bc550201f	MENSAN	BC550201F	ASP
bc550204f	MENSAN	BC550204F	ASP
bc550206f	MENSAN	BC550206F	ASP
bc550207f	MENSAN	BC550207F	ASP
bp270207-1993	MENSAN	BP270207-1993	ASP
ca270201	MENSAN	CA270201	ASP
cb08102120	MENSAN	CB08102120	ASP
cb08103110	MENSAN	CB08103110	ASP
cc260209	MENSAN	CC260209	ASP
cv260104l	MENSAN	CV260104L	ASP
cv260104r	MENSAN	CV260104R	ASP
cv270126r	MENSAN	CV270126R	ASP
cv270208	MENSAN	CV270208	ASP
cv420201	MENSAN	CV420201	ASP
eb35003	MENSAN	EB35003	ASP
eb45002	MENSAN	EB45002	ASP
eb55004	MENSAN	EB55004	ASP
eb75001	MENSAN	EB75001	ASP
eb75009	MENSAN	EB75009	ASP
eb75021	MENSAN	EB75021	ASP
eb75025	MENSAN	EB75025	ASP
eb75030	MENSAN	EB75030	ASP
k020114	MENSAN	K020114	ASP
k020213	MENSAN	K020213	ASP
k030114	MENSAN	K030114	ASP
k030118	MENSAN	K030118	ASP
k030125	MENSAN	K030125	ASP
k230101	MENSAN	K230101	ASP
k230103	MENSAN	K230103	ASP
k230115	MENSAN	K230115	ASP
k230116	MENSAN	K230116	ASP
k260104	MENSAN	K260104	ASP
k270204	MENSAN	K270204	ASP
k290113	MENSAN	K290113	ASP
k290202	MENSAN	K290202	ASP
k290213	MENSAN	K290213	ASP
k290227	MENSAN	K290227	ASP
k300110	MENSAN	K300110	ASP
k340110	MENSAN	K340110	ASP
k370103	MENSAN	K370103	ASP
k380103	MENSAN	K380103	ASP
k380125	MENSAN	K380125	ASP
k410118	MENSAN	K410118	ASP
k410121	MENSAN	K410121	ASP
k420202	MENSAN	K420202	ASP
k610108	MENSAN	K610108	ASP
kb1001	MENSAN	KB-1001	Japanparts
kb1002	MENSAN	KB1002	ASP
kb3002	MENSAN	KB3002	ASP
kb4001	MENSAN	KB4001	ASP
kb4002	MENSAN	KB4002	ASP
kb4003	MENSAN	KB4003	ASP
kb4005	MENSAN	KB4005	ASP
kb4007	MENSAN	KB4007	ASP
kb7001	MENSAN	KB7001	ASP
kb7003	MENSAN	KB7003	ASP
kb7004	MENSAN	KB7004	ASP
kb8001	MENSAN	KB8001	ASP
kb8004	MENSAN	KB8004	ASP
kb8006	MENSAN	KB8006	ASP
kb8007	MENSAN	KB8007	ASP
kb8008	MENSAN	KB8008	ASP
kb8010	MENSAN	KB8010	ASP
kb8011	MENSAN	KB8011	ASP
kb9005	MENSAN	KB9005	ASP
kb9008	MENSAN	KB9008	ASP
kb9010	MENSAN	KB9010	ASP
kb9011	MENSAN	KB9011	ASP
kb9012	MENSAN	KB9012	ASP
ke8002	MENSAN	KE8002	ASP
ke8003	MENSAN	KE8003	ASP
ke8004	MENSAN	KE8004	ASP
ke8005	MENSAN	KE8005	ASP
kh4001	MENSAN	KH4001	ASP
kh4002	MENSAN	KH4002	ASP
kh6001	MENSAN	KH6001	ASP
kh6003	MENSAN	KH6003	ASP
kh6004	MENSAN	KH6004	ASP
kh7002	MENSAN	KH7002	ASP
kh7004	MENSAN	KH7004	ASP
kh7006	MENSAN	KH7006	ASP
kh7007	MENSAN	KH7007	ASP
kh8002	MENSAN	KH8002	ASP
kh8004	MENSAN	KH8004	ASP
kh8005	MENSAN	KH8005	ASP
kh8007	MENSAN	KH8007	ASP
kh8008	MENSAN	KH8008	ASP
kh8010	MENSAN	KH8010	ASP
kh9001	MENSAN	KH9001	ASP
kh9002	MENSAN	KH9002	ASP
kh9003	MENSAN	KH9003	ASP
kh9004	MENSAN	KH9004	ASP
kh9005	MENSAN	KH9005	ASP
kh9006	MENSAN	KH9006	ASP
kh9007	MENSAN	KH9007	ASP
kh9008	MENSAN	KH9008	ASP
kh9010	MENSAN	KH9010	ASP
kh9012	MENSAN	KH9012	ASP
l020102	MENSAN	L020102	ASP
l260202li	MENSAN	L260202LI	ASP
l260205l	MENSAN	L260205L	ASP
l260302	MENSAN	L260302	ASP
lf6002	MENSAN	LF6002	ASP
lf6003	MENSAN	LF6003	ASP
lf6004	MENSAN	LF6004	ASP
lf6005	MENSAN	LF6005	ASP
lf7002	MENSAN	LF7002	ASP
lf7003	MENSAN	LF7003	ASP
lf7018	MENSAN	LF7018	ASP
lf7024	MENSAN	LF7024	ASP
lf7025	MENSAN	LF7025	ASP
lf7026	MENSAN	LF7026	ASP
lf7027	MENSAN	LF7027	ASP
lf8004	MENSAN	LF8004	ASP
lf8005	MENSAN	LF8005	ASP
lf8006	MENSAN	LF8006	ASP
lf8007	MENSAN	LF8007	ASP
lf8009	MENSAN	LF8009	ASP
ll6002	MENSAN	LL6002	ASP
ll6003	MENSAN	LL6003	ASP
ll7002	MENSAN	LL7002	ASP
lr4002	MENSAN	LR4002	ASP
lr4004	MENSAN	LR4004	ASP
lr4006	MENSAN	LR4006	ASP
lr4007	MENSAN	LR4007	ASP
lr6002	MENSAN	LR6002	ASP
lr6003	MENSAN	LR6003	ASP
lr7007	MENSAN	LR7007	ASP
lr7013	MENSAN	LR7013	ASP
lr7015	MENSAN	LR7015	ASP
lr7018	MENSAN	LR7018	ASP
lr9006	MENSAN	LR9006	ASP
pw0001	MENSAN	PW0001	ASP
rj00001	MENSAN	RJ00001	ASP
rj00040	MENSAN	RJ00040	ASP
